category,primary_tag,related_hashtags,slug
Love & Relationships,love,"love, relationship, dating, couplegoals, romance, lovestory",love-relationships
Beauty & Makeup,beauty,"beauty, makeup, skincare, cosmetics, glam, beautyhacks",beauty-makeup
Fashion & Style,fashion,"fashion, style, ootd, streetwear, model, fashionstyle",fashion-style
Health & Fitness,fitness,"fitness, gym, workout, wellness, healthylifestyle, fitspo",health-fitness
Lifestyle & Vlogs,lifestyle,"lifestyle, vlog, dailyroutine, aesthetic, life, vlogger",lifestyle-vlogs
Food & Cooking,food,"food, foodie, recipe, cooking, chef, yummy",food-cooking
Travel & Adventure,travel,"travel, wanderlust, adventure, explore, vacation, travelgram",travel-adventure
Gaming & Esports,gaming,"gaming, gamer, streamer, twitch, esports, gameplay",gaming-esports
Tech & Gadgets,tech,"tech, gadgets, technology, ai, software, techreview",tech-gadgets
Business & Entrepreneurship,business,"business, entrepreneur, startup, marketing, management",business-entrepreneurship
Parenting & Family,family,"parenting, momlife, dadlife, family, kids, familyvlog",parenting-family
Music & Entertainment,music,"music, musician, singer, artist, dance, song",music-entertainment
Photography & Video,photography,"photography, photographer, videography, creator, contentcreator",photography-video
Pets & Animals,pets,"pets, dogs, cats, animalsoftiktok, petlover, dogsofinstagram",pets-animals
